1 CM,,,1.5 CM,,
,X,Y,,X,Y
Ground,918.9654,567.6915,Ground,816.8962,725.2122
hMax,223.7893839,562.2835367,hMax,152.5423,725.2122
vMax,918.5920477,1524.017683,vMax,816.8962,1630.715
Posture 1,633.8326502,914.9313833,Posture 1,672.3688369,1201.094438
Posture 2,778.118032,1062.366599,Posture 2,679.5587811,1183.134894
Posture 3,825.2189951,1079.006116,Posture 3,617.0902238,1173.147943
Tendon 1,732.3635097,1028.127291,Tendon 1,556.40325,1129.045921
Tendon 2,737.0398755,1046.145901,Tendon 2,552.266634,1152.913343
Tendon 3,776.034145,1073.185343,Tendon 3,576.8147681,1166.302795
Tendon 4,783.7559838,1073.975915,Tendon 4,809.9210453,1206.557562
Rest,770.0054702,1063.307148,Rest,588.2572567,1158.489664
2 CM,,,2.5 CM,,
,X,Y,,X,Y
Ground,794.6936088,599.9239502,Ground,829.1348839,597.5074008
hMax,150.0800755,599.9239502,hMax,112.9402521,597.5074008
vMax,794.6936088,1514.129143,vMax,829.1348839,1597.242042
Posture 1,711.532262,1050.006738,Posture 1,699.7176323,1125.501882
Posture 2,647.8657802,1034.641506,Posture 2,639.3820643,1104.924038
Posture 3,677.6527166,1030.752991,Posture 3,799.5235248,1116.754747
Tendon 1,583.0524733,974.6021743,Tendon 1,641.7167661,1088.626649
Tendon 2,601.9872088,1021.254593,Tendon 2,628.1581769,1099.914369
Tendon 3,630.203197,1031.720516,Tendon 3,605.6430819,1099.712669
Tendon 4,675.261503,1029.984747,Tendon 4,850.1396779,1125.200569
Rest,643.9360087,1030.747186,Rest,641.1594024,1101.594728
3 CM,,,3.5 CM,,
,X,Y,,X,Y
Ground,739.8234879,657.3000987,Ground,836.8668941,640.4734852
hMax,123.2098947,657.3000987,hMax,161.0409815,640.4734852
vMax,739.8234879,1518.573873,vMax,836.8668941,1565.794107
Posture 1,518.0555052,1152.77918,Posture 1,502.6379809,1094.056621
Posture 2,500.7249311,1154.872231,Posture 2,607.5492206,1196.226269
Posture 3,718.6654644,1190.628051,Posture 3,782.4396107,1227.827124
Tendon 1,450.9932293,1113.641085,Tendon 1,559.7503817,1151.960564
Tendon 2,467.0814575,1132.783539,Tendon 2,558.3174992,1168.773043
Tendon 3,479.4100494,1145.137884,Tendon 3,594.7681932,1187.191237
Tendon 4,481.0628841,1146.117712,Tendon 4,603.5666616,1193.270175
Rest,498.1596167,1146.664351,Rest,504.1842092,1094.243785
4 CM,,,Hard Finger,,
,X,Y,,X,Y
Ground,816.5539935,582.1009028,Ground,1117.539599,391.5463097
hMax,60.71429729,582.1009028,hMax,738.2390954,307.0830265
vMax,816.5539935,1628.058191,vMax,1074.631691,791.3602242
Posture 1,148.9018815,741.9566164,Posture 1,992.1306973,660.757953
Posture 2,165.0153595,807.587358,Posture 2,992.0155072,658.7463562
Posture 3,160.6604048,784.9443405,Posture 3,1170.883734,692.3837476
Tendon 1,151.3067601,749.2579052,Tendon 1,904.3682256,612.3627939
Tendon 2,152.6506145,765.6880049,Tendon 2,1060.294748,702.0648992
Tendon 3,156.5239658,771.2519007,Tendon 3,931.3027838,631.8308597
Tendon 4,169.7112298,811.9781573,Tendon 4,930.5279186,630.3975649
Rest,159.0408108,787.194775,Rest,946.1466951,642.4832218