0.3432;0.0384
-22.9419;-20.9405
-61.7590;-27.4292
-12.3329;-11.8512
-12.0149;-15.3034
-20.1052;-19.0853
-22.0580;-20.3335
-0.4763;24.9329
-17.4440;24.9379
-45.1403;21.6362
-24.8634;18.4083
24.3740;42.6177
18.3255;36.1605
6.2080;28.8696
-41.7466;19.9863
-38.9949;18.5121
6.5226;32.5056
7.0275;34.4890
-0.4311;30.9306
-24.9999;21.5789
-0.1209;25.9723
-0.9524;30.9492
1.2032;25.0099
-33.0882;20.5310
-9.3537;22.4638
10.4379;31.4438
-8.4355;24.0665
-16.3517;21.8522
42.8040;59.8491
-58.1198;16.6756
-5.5346;21.3748
-2.1025;24.5896
23.3397;42.6830
-18.0401;27.4206
-0.6302;24.3001
-1.3457;24.7492
2.8074;27.6926
7.0442;32.2252
2.7262;26.1433
23.4449;42.5418
5.5786;28.3705
2.8915;27.9742
-4.7290;29.2572
-34.6596;18.4385
-0.5831;24.4038
-28.8369;21.3120
-0.7872;24.5594
-7.5575;26.3716
2.7326;27.6252
-26.1123;23.5523
-0.9658;24.7482