1.8385;0.8813;0.3313;0.0299
0.4556;0.2462;0.2071;1.0377
-0.0805;0.4809;0;1.5140
0.6903;0;0;-0.2853
0;1.0990;0;-0.0046
0;0;0.3313;-0.0023
-0.5706;0;0;1.7810
0.9940;1.1091;1.9558;1.1735
0.9181;0.6581;2.4781;1.3852
0.3543;0.0713;2.0801;1.5831
0.8283;0.9595;1.4105;1.9420
1.0930;1.4358;2.0893;1.4358
0.1381;1.7188;0.7133;2.4321
0.0805;0.9917;1.9259;1.6820
0;0.2876;1.1252;0.4188
0;1.4174;0.9618;0.2531
0.1956;1.1045;1.2724;0.9733
0.1058;0.1150;1.2747;1.1344
1.0953;1.6268;2.1629;-0.1519
-0.2623;0.2002;1.1850;2.4574
0.5522;1.3691;0.4947;1.5232
0.3543;1.3668;0.7432;2.2550
0.9779;0.6972;1.3047;-0.0391
0.9227;0.5062;1.4979;1.9098
0.2301;0;1.5555;2.1951
0.5683;0.0414;1.5209;2.2296
0.3198;0.0644;0.1012;0
0.7018;0;0;0.3221
0.1657;0.0092;0.4464;2.2204
1.0170;1.2517;0.3866;0.0529
0;1.1574;0.9710;0.6650
0.0391;0.7961;1.7372;0.6650
0.8145;1.3438;2.3125;1.8155
0.0644;1.2448;0.7432;1.8086
0.1220;0.6351;0;0.0368
0.1703;0.9411;1.2333;1.7740
0.6972;1.1505;1.7188;0.3889
0.6167;0.3520;0.2807;1.0285
0.1565;0.1197;0.9940;0.3520
0.4188;1.2862;0.5476;2.1169
0;0.6029;0.1841;0.0644
0.5338;0.0644;0.7593;0.5798
0.5752;0.6305;1.5969;1.6981
0.4855;0.3797;0.6282;1.9972
0.0368;0;0.1404;0.6351
0.8237;1.1229;1.4358;0.0920
0.3014;1.5140;1.1068;0.3751
0.9480;1.2954;1.2678;1.5163
0.2255;0.9342;0.5775;2.1146
0.1611;0.0184;0;1.5347
0.8491;0.7593;1.1850;0.6052